 Nom  de  l'hôtel , Localisation , Nombre  des  étoiles  d’hôtel , Prix , Nombre  d'utilisateur , Excellent , Très  bon , Moyen , Médiocre , Horrible , servies  proposer , classe 
Hôtel Scarlett,"1 Rue Jouye Rouve, 75020 Paris, France",3,141,355,66,26,5,2,1,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Bar/lounge, Concierge, Animaux autorisés, Tous les détails de l'hôtel, ",3
Hotel de la Paix Tour Eiffel,"19 rue du Gros Caillou | 07 Arr., 75007 Paris, France",3,173,306,37,45,12,4,0,"Wi-Fi gratuit, Parking, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Chambres familiales, Personnel multilingue, Tous les détails de l'hôtel, ",3
Mercure Paris Alésia,"185 Boulevard Brune, 75014 Paris, France",4,229,321,36,44,13,5,2,"Wi-Fi gratuit, Parking, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Suites, Bar/lounge, Tous les détails de l'hôtel, ",3
Hôtel Excelsior Latin,"20 Rue Cujas | Quartier Latin, 75005 Paris, France",3,138,1266,35,46,13,4,2,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Chambres non-fumeurs, Navette aéroport, Suites, Concierge, Tous les détails de l'hôtel, ",3
Europe Hotel Paris Eiffel,"103 Boulevard de Grenelle | 15 Arr., 75015 Paris, France",3,185,558,37,45,14,2,0,"Wi-Fi gratuit, Buffet petit déjeuner, Hôtel non-fumeur, Bar/lounge, Concierge, Accès personnes handicapés, Nettoyage à sec, Tous les détails de l'hôtel, ",3
Hotel Donjon Vincennes,"22, rue du donjon | (Paris), 94300 Vincennes, France",2,77,481,51,41,5,2,0,"Wi-Fi gratuit, Buffet petit déjeuner, Hôtel non-fumeur, Chambres familiales, Concierge, Service de ménage, Parking gratuit, Tous les détails de l'hôtel, ",1
Hotel Korner Eiffel,"96 avenue Emile Zola | 15th Arr., 75015 Paris, France",2,155,216,57,33,2,1,0,"Wi-Fi gratuit, Buffet petit déjeuner, Hôtel non-fumeur, Concierge, Chambres avec accès mobilité réduite, Navette, Parking gratuit, Tous les détails de l'hôtel, ",3
Hôtel Lorette - Astotel,"36 rue Notre Dame de Lorette | 9th Arr., 75009 Paris, France",3,135,1519,50,39,8,2,1,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Service d'étage, Chambres familiales, Concierge, Tous les détails de l'hôtel, ",3
Hôtel de Venise,"4 Rue Chaligny, 75012 Paris, France",2,87,434,32,54,9,3,0,"Wi-Fi gratuit, Buffet petit déjeuner, Hôtel non-fumeur, Concierge, Animaux autorisés, Climatisation, Piscine, Tous les détails de l'hôtel, ",2
Hôtel Le 123 Sébastopol - Astotel,"123 Boulevard de Sébastopol | 2nd Arr., 75002 Paris, France",4,317,1958,79,17,2,1,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Service d'étage, Chambres familiales, Bar/lounge, Tous les détails de l'hôtel, ",3
Beautiful Belleville Hostel,"12 Rue de l'Atlas, 75019 Paris, France",0,96,261,39,46,10,3,2,"Wi-Fi gratuit, Petit déjeuner inclus, Hôtel non-fumeur, Personnel multilingue, Service de ménage, Salles de réunion, Tous les détails de l'hôtel, ",2
Le Mathurin Hôtel & Spa Paris,"43 Rue des Mathurins, 75008 Paris, France",4,372,476,48,39,3,2,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Jacuzzi, Hôtel non-fumeur, Service d'étage, Suites, Tous les détails de l'hôtel, ",3
Apostrophe Hotel,"3 rue de Chevreuse, 75006 Paris, France",3,243,725,67,27,4,1,0,"Wi-Fi gratuit, Climatisation, Hôtel non-fumeur, Concierge, Accès personnes handicapés, Nettoyage à sec, Service de ménage, Tous les détails de l'hôtel, ",3
Hôtel Galileo,"54, rue Galilée | 08 Arr., 75008 Paris, France",3,251,1372,69,25,4,1,0,"Wi-Fi gratuit, Parking, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Service d'étage, Suites, Tous les détails de l'hôtel, ",3
Hotel la Nouvelle Republique,"9 rue Moret, 75011 Paris, France",3,141,197,80,17,3,0,0,"Wi-Fi gratuit, Petit déjeuner inclus, Climatisation, Hôtel non-fumeur, Chambres familiales, Bar/lounge, Concierge, Tous les détails de l'hôtel, ",3
Hotel Eiffel Turenne,"20 avenue de Tourville, 75007 Paris, France",3,110,701,69,26,3,1,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Bar/lounge, Concierge, Parking gratuit, Tous les détails de l'hôtel, ",2
The Westin Paris - Vendôme,"3 Rue De Castiglione, 75001 Paris, France",4,396,4112,39,34,15,7,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Restaurant, Service d'étage, Suites, Tous les détails de l'hôtel, ",3
Le Bristol Paris,"112 rue du Faubourg Saint-Honoré | 8th Arr., 75008 Paris, France",5,1,1898,88,2,1,0,0,"Wi-Fi gratuit, Parking, Petit déjeuner disponible, Climatisation, Piscine, Hôtel non-fumeur, Restaurant, Tous les détails de l'hôtel, ",1
Buddha-Bar Hotel Paris,"4, rue d'Anjou, 75008 Paris, France",5,545,905,73,18,5,2,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Chambres non-fumeurs, Restaurant, Navette aéroport, Service d'étage, Tous les détails de l'hôtel, ",3
Hôtel Saint-Marc,"36 rue Saint-Marc, 75002 Paris, France",4,364,500,83,14,2,1,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Piscine, Hôtel non-fumeur, Service d'étage, Suites, Tous les détails de l'hôtel, ",3
Hôtel Odessa Montparnasse,"28 Rue d Odessa, 75014 Paris, France",2,107,410,27,50,18,3,2,"Wi-Fi gratuit, Hôtel non-fumeur, Service d'étage, Personnel multilingue, Service de ménage, Parking gratuit, Buffet petit déjeuner, Tous les détails de l'hôtel, ",2
La Maison Montparnasse,"53 rue de Gergovie, 75014 Paris, France",2,137,611,43,45,9,2,1,"Wi-Fi gratuit, Parking, Buffet petit déjeuner, Hôtel non-fumeur, Concierge, Animaux autorisés, Salles de réunion, Tous les détails de l'hôtel, ",3
Hôtel La Comtesse,"29, Avenue de Tourville, 75007 Paris, France",4,209,428,80,14,1,0,0,"Wi-Fi gratuit, Parking, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Restaurant, Navette aéroport, Tous les détails de l'hôtel, ",3
Le Mareuil,"51 rue de Malte, 75011 Paris, France",4,260,733,68,29,2,1,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Service d'étage, Suites, Bar/lounge, Tous les détails de l'hôtel, ",3
The Lodge du Centre Hotel,"6 rue Geoffroy Marie, 75009 Paris, France",3,172,474,28,52,16,3,1,"Wi-Fi gratuit, Buffet petit déjeuner, Hôtel non-fumeur, Navette aéroport, Bar/lounge, Concierge, Service de blanchisserie, Tous les détails de l'hôtel, ",3
Handsome Hotel by Elegancia,"83 rue Rambuteau | 1st Arr., 75001 Paris, France",3,296,250,59,32,8,1,0,"Wi-Fi gratuit, Petit déjeuner inclus, Climatisation, Hôtel non-fumeur, Concierge, Service de ménage, Parking gratuit, Tous les détails de l'hôtel, ",3
Hôtel Keppler,"10 Rue Kepler | 16 arr., 75116 Paris, France",4,288,1160,77,18,3,1,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Service d'étage, Suites, Bar/lounge, Tous les détails de l'hôtel, ",3
Cler Hotel,"24 B rue Cler, 75007 Paris, France",3,224,667,77,19,2,1,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Personnel multilingue, Parking gratuit, Piscine, Tous les détails de l'hôtel, ",3
Hôtel Gramont Opéra,"22 rue de Gramont, 75002 Paris, France",3,209,1314,68,25,1,0,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Bar/lounge, Concierge, Accès personnes handicapés, Tous les détails de l'hôtel, ",3
Hotel des Nations St-Germain,"54 rue Monge, 75005 Paris, France",3,174,448,51,37,9,2,0,"Wi-Fi gratuit, Parking, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Concierge, Accès personnes handicapés, Tous les détails de l'hôtel, ",3
Mercure Paris Vaugirard Porte de Versailles Hotel,"69 boulevard Victor, 75015 Paris, France",4,301,849,33,49,13,2,0,"Wi-Fi gratuit, Parking, Buffet petit déjeuner, Climatisation, Piscine, Hôtel non-fumeur, Service d'étage, Tous les détails de l'hôtel, ",3
Hôtel Les Bulles de Paris,"32 rue des Ecoles | 5th Arr., 75005 Paris, France",4,190,438,44,36,12,5,3,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Service d'étage, Suites, Bar/lounge, Tous les détails de l'hôtel, ",3
Hotel de la Place du Louvre - Esprit de France,"21 rue des Pretres St Germain l'Auxerrois | 01 Arr., 75001 Paris, France",3,194,562,46,44,7,2,1,"Wi-Fi gratuit, Parking, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Concierge, Animaux autorisés, Tous les détails de l'hôtel, ",3
Hotel De Buci by MH,"22, rue de Buci | 06 Arr., 75006 Paris, France",4,385,955,71,22,4,0,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Service d'étage, Suites, Bar/lounge, Tous les détails de l'hôtel, ",3
Hotel De La Paix Montparnasse,"225 boulevard Raspail, 75014 Paris, France",3,134,746,44,45,8,2,1,"Wi-Fi gratuit, Parking, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Chambres familiales, Personnel multilingue, Tous les détails de l'hôtel, ",3
Hôtel Opéra Frochot,"4 rue Frochot | 9th Arr., 75009 Paris, France",3,126,349,44,36,13,0,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Bar/lounge, Concierge, Parking gratuit, Tous les détails de l'hôtel, ",3
XO Hotel,"25 Rue Théodore de Banville | 17th Arr., 75017 Paris, France",4,216,275,83,14,2,0,1,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Service d'étage, Chambres familiales, Concierge, Tous les détails de l'hôtel, ",3
Hotel Eiffel Trocadero,"35 rue Benjamin Franklin, 75116 Paris, France",4,171,385,44,34,13,5,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Jacuzzi, Hôtel non-fumeur, Navette aéroport, Service d'étage, Tous les détails de l'hôtel, ",3
Le Relais Montmartre,"6 rue Constance, 75018 Paris, France",4,134,1143,69,27,2,1,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Chambres familiales, Concierge, Accès personnes handicapés, Tous les détails de l'hôtel, ",3
Hôtel Palm - Astotel,"30 Rue De Maubeuge | 9th Arr., 75009 Paris, France",3,143,1408,64,31,3,0,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Chambres familiales, Concierge, Accès personnes handicapés, Tous les détails de l'hôtel, ",3
Hilton Paris Opera,"108 Rue Saint-Lazare, 75008 Paris, France",4,282,2314,58,25,9,3,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Restaurant, Service d'étage, Suites, Tous les détails de l'hôtel, ",3
Hotel Pastel Paris,"79 rue Lauriston | 16th Arr., 75116 Paris, France",3,173,112,71,24,0,0,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Concierge, Nettoyage à sec, Service de ménage, Tous les détails de l'hôtel, ",3
Best Western Premier Opéra Opal,"19 rue Tronchet | 8th Arr., 75008 Paris, France",4,161,624,33,50,11,4,2,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Navette aéroport, Service d'étage, Suites, Tous les détails de l'hôtel, ",3
9HOTEL MONTPARNASSE,"76 rue Raymond Losserand, 75014 Paris, France",3,354,719,44,43,9,1,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Bar/lounge, Concierge, Accès personnes handicapés, Tous les détails de l'hôtel, ",3
Hotel Louvre Marsollier Opera,"13 rue Marsollier | 2nd Arr., 75002 Paris, France",3,11,581,45,38,11,4,2,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Concierge, Service de blanchisserie, Service de ménage, Tous les détails de l'hôtel, ",1
Hôtel Astra Opéra - Astotel,"29 rue de Caumartin | 9th Arr., 75009 Paris, France",4,208,1321,45,40,10,3,2,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Service d'étage, Chambres familiales, Concierge, Tous les détails de l'hôtel, ",3
Terminus Orléans,"197 boulevard Brune, 75014 Paris, France",2,89,696,38,48,10,3,1,"Wi-Fi gratuit, Hôtel non-fumeur, Personnel multilingue, Service de ménage, Parking gratuit, Petit déjeuner inclus, Piscine, Tous les détails de l'hôtel, ",2
Hotel Napoléon Paris,"40 avenue de Friedland, 75008 Paris, France",5,392,458,73,20,2,0,0,"Wi-Fi gratuit, Parking, Buffet petit déjeuner, Chambres non-fumeurs, Restaurant, Service d'étage, Suites, Tous les détails de l'hôtel, ",3
The Chess Hotel,"6 rue du Helder, 75009 Paris, France",4,405,435,51,40,6,2,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Service d'étage, Suites, Bar/lounge, Tous les détails de l'hôtel, ",3
La Maison Favart,"5, Rue de Marivaux | 2nd Arr, 75002 Paris, France",4,560,1696,80,16,2,1,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Piscine, Hôtel non-fumeur, Service d'étage, Suites, Tous les détails de l'hôtel, ",3
Hôtel Le Chat Noir,"68 Boulevard de Clichy, 75018 Paris, France",4,155,1146,41,42,12,3,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Personnel multilingue, Accès personnes handicapés, Service de blanchisserie, Tous les détails de l'hôtel, ",3
Atlantic Hôtel,"44 Rue de Londres | 8th Arr., 75008 Paris, France",3,158,725,47,42,9,1,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Service d'étage, Concierge, Installations adaptées aux personnes à mobilité réduite, Tous les détails de l'hôtel, ",3
Hotel du College de France,"7 rue Thenard, 75005 Paris, France",2,160,1084,56,36,1,0,0,"Wi-Fi gratuit, Buffet petit déjeuner, Hôtel non-fumeur, Concierge, Balcon privé, Parking gratuit, Piscine, Tous les détails de l'hôtel, ",3
Novotel Suites Paris Expo Porte de Versailles,"4 Boulevard Brune, 75014 Paris, France",4,221,369,48,40,6,3,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Suites, Bar/lounge, Centre de remise en forme, Tous les détails de l'hôtel, ",3
Hôtel R de Paris,"41 rue de Clichy, 75009 Paris, France",4,284,921,75,22,1,0,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Service d'étage, Suites, Bar/lounge, Tous les détails de l'hôtel, ",3
Hotel Relais Bosquet Paris,"19 rue du Champ de Mars, 75007 Paris, France",3,199,2387,69,25,4,1,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Navette aéroport, Concierge, Animaux autorisés, Tous les détails de l'hôtel, ",3
Hôtel Bradford Elysées - Astotel,"10, rue Saint Philippe du Roule, 75008 Paris, France",4,249,1748,78,18,2,1,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Service d'étage, Chambres familiales, Bar/lounge, Tous les détails de l'hôtel, ",3
Le Derby Alma,"8 Avenue Rapp, 75007 Paris, France",4,304,866,70,24,1,0,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Service d'étage, Suites, Bar/lounge, Tous les détails de l'hôtel, ",3
Hotel Magellan,"17 rue Jean Baptiste Dumas, 75017 Paris, France",3,132,810,43,47,2,1,0,"Wi-Fi gratuit, Parking, Buffet petit déjeuner, Piscine, Hôtel non-fumeur, Restaurant, Navette aéroport, Tous les détails de l'hôtel, ",3
K+K Hôtel Cayré,"4 Boulevard Raspail | 7th Arr., 75007 Paris, France",4,376,2696,58,33,6,2,1,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Service d'étage, Bar/lounge, Centre de remise en forme, Tous les détails de l'hôtel, ",3
Hotel Saint Paul Rive Gauche,"43 rue Monsieur le Prince, 75006 Paris, France",4,310,911,69,25,4,1,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Navette aéroport, Service d'étage, Suites, Tous les détails de l'hôtel, ",3
Citadines Saint-Germain-des-Pres Paris,"53, ter Quai des Grands Augustins, 75006 Paris, France",4,380,2205,49,39,8,2,0,"Wi-Fi gratuit, Parking, Buffet petit déjeuner, Hôtel non-fumeur, Chambres familiales, Centre de remise en forme, Kitchenette, Tous les détails de l'hôtel, ",3
Hotel Britannique,"20 avenue Victoria, 75001 Paris, France",3,226,1642,64,29,2,1,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Suites, Bar/lounge, Concierge, Tous les détails de l'hôtel, ",3
Hotel Beauchamps,"24 Rue de Ponthieu | Champs-Elysées, 75008 Paris, France",4,229,398,46,33,11,4,0,"Wi-Fi gratuit, Parking, Buffet petit déjeuner, Chambres non-fumeurs, Service d'étage, Concierge, Nettoyage à sec, Tous les détails de l'hôtel, ",3
Okko Hotels Paris Porte de Versailles,"2 Rue du Colonel Pierre Avia, 75015 Paris, France",4,235,261,67,25,2,1,0,"Wi-Fi gratuit, Petit déjeuner inclus, Climatisation, Hôtel non-fumeur, Chambres familiales, Bar/lounge, Centre de remise en forme, Tous les détails de l'hôtel, ",3
Pavillon Nation,"13 boulevard de Charonne, 75011 Paris, France",3,106,964,37,42,14,5,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Navette aéroport, Centre de remise en forme, Personnel multilingue, Tous les détails de l'hôtel, ",2
Hôtel Palais de Chaillot,"35 avenue Raymond Poincare, 75116 Paris, France",3,163,417,46,43,8,2,1,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Concierge, Animaux autorisés, Accès personnes handicapés, Tous les détails de l'hôtel, ",3
Classics Hotel Bastille,"131 rue de Charonne | 11th Arr., 75011 Paris, France",3,141,599,27,53,16,2,0,"Wi-Fi gratuit, Parking, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Navette aéroport, Personnel multilingue, Tous les détails de l'hôtel, ",3
Maison Athénée,"19 rue de Caumartin, 75009 Paris, France",4,335,554,73,21,4,0,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Navette aéroport, Service d'étage, Bar/lounge, Tous les détails de l'hôtel, ",3
Sofitel Paris Arc de Triomphe,"14 rue Beaujon, 75008 Paris, France",5,361,1236,53,30,10,5,2,"Wi-Fi gratuit, Parking, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Restaurant, Service d'étage, Tous les détails de l'hôtel, ",3
Staycity Aparthotels Gare de l'Est,"5 Passage Dubail, 75010 Paris, France",3,113,943,48,38,3,0,0,"Wi-Fi gratuit, Petit déjeuner disponible, Climatisation, Hôtel non-fumeur, Chambres familiales, Kitchenette, Concierge, Tous les détails de l'hôtel, ",2
First Hotel,"2 boulevard Garibaldi | 15th Arr., 75015 Paris, France",4,175,1401,49,35,11,3,2,"Wi-Fi gratuit, Parking, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Service d'étage, Suites, Tous les détails de l'hôtel, ",3
Hôtel Augustin - Astotel,"9 rue Roy | 8th Arr., 75008 Paris, France",3,156,1185,74,22,1,0,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Chambres familiales, Concierge, Accès personnes handicapés, Tous les détails de l'hôtel, ",3
Hôtel Le 123 Elysées - Astotel,"123 rue du Faubourg Saint Honore | 8th Arr., 75008 Paris, France",4,296,1742,69,25,4,1,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Service d'étage, Concierge, Accès personnes handicapés, Tous les détails de l'hôtel, ",3
Hôtel Square Louvois,"12 rue de Louvois, 75002 Paris, France",4,390,344,82,14,3,0,1,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Piscine, Hôtel non-fumeur, Service d'étage, Suites, Tous les détails de l'hôtel, ",3
Citadines Tour Eiffel Paris,"132 boulevard de Grenelle | 15th Arr., 75015 Paris, France",4,346,341,55,32,7,3,0,"Wi-Fi gratuit, Parking, Petit déjeuner disponible, Climatisation, Hôtel non-fumeur, Suites, Kitchenette, Tous les détails de l'hôtel, ",3
Hotel de Neuve by HappyCulture,"14, rue Neuve-Saint Pierre | 4th Arr., 75004 Paris, France",3,244,383,47,40,10,2,1,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Concierge, Chambres avec accès mobilité réduite, Service de blanchisserie, Tous les détails de l'hôtel, ",3
Sofitel Paris Baltimore Tour-Eiffel,"88 B avenue Kleber | 16 Arr., 75116 Paris, France",5,312,265,60,22,10,3,5,"Wi-Fi gratuit, Parking, Buffet petit déjeuner, Climatisation, Chambres non-fumeurs, Restaurant, Service d'étage, Tous les détails de l'hôtel, ",3
Hôtel d'Orsay - Esprit de France,"93 rue de Lille, 75007 Paris, France",4,339,1234,71,24,3,0,0,"Wi-Fi gratuit, Parking, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Navette aéroport, Service d'étage, Tous les détails de l'hôtel, ",3
Hotel de Banville,"166 boulevard Berthier, 75017 Paris, France",4,203,714,63,27,6,2,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Navette aéroport, Service d'étage, Suites, Tous les détails de l'hôtel, ",3
Hotel de Banville,"166 boulevard Berthier, 75017 Paris, France",4,203,714,63,27,6,2,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Navette aéroport, Service d'étage, Suites, Tous les détails de l'hôtel, ",3
Relais Hotel du Vieux Paris,"9 rue Git le Coeur, 75006 Paris, France",4,194,475,61,27,5,4,3,"Wi-Fi gratuit, Parking, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Navette aéroport, Suites, Tous les détails de l'hôtel, ",3
Hotel du Ministere,"31 rue de Surene, 75008 Paris, France",4,364,647,67,25,6,1,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Service d'étage, Suites, Bar/lounge, Tous les détails de l'hôtel, ",3
Hotel Eiffel Capitol,"9, rue Viala | 15 Arr., 75015 Paris, France",3,135,714,41,44,11,3,0,"Wi-Fi gratuit, Parking, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Bar/lounge, Concierge, Tous les détails de l'hôtel, ",3
Elysees Ceramic Hotel,"34 avenue de Wagram, 75008 Paris, France",3,154,822,36,44,15,3,2,"Wi-Fi gratuit, Buffet petit déjeuner, Concierge, Service de ménage, Parking gratuit, Climatisation, Piscine, Tous les détails de l'hôtel, ",3
Sèvres saint Germain Hotel,"22 Rue Saint-Placide, 75006 Paris, France",3,197,636,58,36,4,1,0,"Wi-Fi gratuit, Parking, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Restaurant, Navette aéroport, Tous les détails de l'hôtel, ",3
Le Belleval,"16 rue de la Pepiniere, 75008 Paris, France",4,315,78,81,14,3,0,0,"Wi-Fi gratuit, Climatisation, Chambres non-fumeurs, Restaurant, Service d'étage, Bar/lounge, Tous les détails de l'hôtel, ",3
Hôtel Madeleine Haussmann,"10, rue Pasquier | 10e arrondissement, 75008 Paris, France",3,279,320,42,41,13,0,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Service d'étage, Concierge, Accès personnes handicapés, Tous les détails de l'hôtel, ",3
Hôtel des Grandes Ecoles,"75 rue du Cardinal Lemoine, 75005 Paris, France",2,155,838,51,35,8,3,0,"Wi-Fi gratuit, Hôtel non-fumeur, Animaux autorisés, Chambres avec accès mobilité réduite, Service de ménage, Parking gratuit, Petit déjeuner inclus, Tous les détails de l'hôtel, ",3
1K Paris,"13 Boulevard du Temple, 75003 Paris, France",4,357,671,53,28,11,4,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Restaurant, Service d'étage, Suites, Tous les détails de l'hôtel, ",3
Les Jardins de Mademoiselle,"15 rue Mademoiselle, 75015 Paris, France",4,162,49,86,12,0,0,0,"Wi-Fi gratuit, Petit déjeuner disponible, Climatisation, Piscine, Hôtel non-fumeur, Navette aéroport, Service d'étage, Tous les détails de l'hôtel, ",3
Hôtel Océanic,"17 rue de la Pepiniere | 8th Arr., 75008 Paris, France",3,124,251,43,48,6,2,1,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Chambres familiales, Bar/lounge, Personnel multilingue, Tous les détails de l'hôtel, ",3
Hôtel Le Clos Medicis,"56 Rue Monsieur le Prince | 6th Arr., 75006 Paris, France",3,193,661,43,40,10,4,0,"Wi-Fi gratuit, Parking, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Bar/lounge, Concierge, Tous les détails de l'hôtel, ",3
Hotel Mistral,"24 rue Cels | 14 Arr., 75014 Paris, France",3,239,1109,66,30,2,1,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Chambres familiales, Concierge, Nettoyage à sec, Tous les détails de l'hôtel, ",3
La Chambre du Marais,"87 rue des Archives, 75003 Paris, France",4,462,329,89,2,0,0,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Navette aéroport, Service d'étage, Suites, Tous les détails de l'hôtel, ",3
Hôtel Henriette,"9 Rue des Gobelins, 75013 Paris, France",3,229,924,73,23,2,1,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Suites, Concierge, Parking gratuit, Tous les détails de l'hôtel, ",3
Résidence du Pré,"15 Rue Pierre Semard, 75009 Paris, France",3,76,270,34,47,14,1,0,"Wi-Fi gratuit, Buffet petit déjeuner, Hôtel non-fumeur, Bar/lounge, Personnel multilingue, Parking gratuit, Piscine, Tous les détails de l'hôtel, ",1
Hotel du Champ de Mars,"7 rue du Champ de Mars, 75007 Paris, France",3,130,1221,59,31,6,2,0,"Wi-Fi gratuit, Parking, Petit déjeuner disponible, Climatisation, Hôtel non-fumeur, Chambres familiales, Concierge, Tous les détails de l'hôtel, ",3
Hotel Beaubourg,"11 rue Simon le Franc | 04 Arr., 75004 Paris, France",3,169,798,35,50,11,2,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Concierge, Chambres avec accès mobilité réduite, Nettoyage à sec, Tous les détails de l'hôtel, ",3
Hotel de Roubaix,"6 rue Greneta, 75003 Paris, France",2,124,759,35,42,15,4,0,"Wi-Fi gratuit, Buffet petit déjeuner, Hôtel non-fumeur, Chambres familiales, Concierge, Animaux autorisés, Parking gratuit, Tous les détails de l'hôtel, ",3
Hôtel Louison,"105 rue de Vaugirard | 6th Arr., 75006 Paris, France",3,224,1294,60,32,6,1,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Navette aéroport, Suites, Bar/lounge, Tous les détails de l'hôtel, ",3
